Person 1,Relationship,Relationship Value
Maya Rodrig,doj,detective work
Joshua Liu,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER,doj","2211469925,https://www.semanticscholar.org/author/2211469925,None,ReBound: An Open-Source 3D Bounding Box Annotation Tool for Active Learning/2023/Wesley Chen#Andrew Edgley#Raunak Hota#Joshua Liu#Ezra Schwartz#Aminah Yizar#Neehar Peri#James M. Purtilo/2109059308#2211431906#2211432214#2211469925#2211432439#2211431717#46191110#1718132,detective work"
James M. Purtilo,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER,PAPER,PAPER,PAPER,PAPER","1718132,https://www.semanticscholar.org/author/1718132,James Marvin Purtilo/James M Purtilo/Jim Purtilo/J M Purtilo/J.m. Purtilo/James Purtilo/J. Purtilo/J Purtilo,ReBound: An Open-Source 3D Bounding Box Annotation Tool for Active Learning/2023/Wesley Chen#Andrew Edgley#Raunak Hota#Joshua Liu#Ezra Schwartz#Aminah Yizar#Neehar Peri#James M. Purtilo/2109059308#2211431906#2211432214#2211469925#2211432439#2211431717#46191110#1718132,Cognitive-motor performance assessment during in-person and remote practice of action sequences/2023/A. Shaver#Calvin Lu#C. Gaskins#J. Reggia#James M. Purtilo#R. Gentili/51061191#13338661#87392046#1742049#1718132#2116201,Assessment of a Novel Virtual Environment for Examining Human Cognitive-Motor Performance During Execution of Action Sequences/2022/A. Shaver#Neehar Peri#Remy Mezebish#G. Matthew#Alyza Berson#C. Gaskins#Gregory P. Davis#Garrett E. Katz#I. Samuel#M. Reinhard#Michelle E. Costanzo#J. Reggia#James M. Purtilo#R. Gentili/51061191#46191110#2171670472#2084386075#2171680434#87392046#36003781#38818450#4358574#40645415#2568421#1742049#1718132#2116201,Analyzing the Effectiveness of an Extensible Virtual Moderator/2022/Aadesh Bagmar#K. Hogan#Dalia Shalaby#James M. Purtilo/1693718757#145270918#2082246067#1718132,Diplomat: A conversational agent framework for goal-oriented group discussion/2021/K. Hogan#Annabelle Baer#James M. Purtilo/145270918#2091806578#1718132"
Garrett E. Katz,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","38818450,https://www.semanticscholar.org/author/38818450,Garrett Katz/G. E. Katz/Garrett E Katz,Assessment of a Novel Virtual Environment for Examining Human Cognitive-Motor Performance During Execution of Action Sequences/2022/A. Shaver#Neehar Peri#Remy Mezebish#G. Matthew#Alyza Berson#C. Gaskins#Gregory P. Davis#Garrett E. Katz#I. Samuel#M. Reinhard#Michelle E. Costanzo#J. Reggia#James M. Purtilo#R. Gentili/51061191#46191110#2171670472#2084386075#2171680434#87392046#36003781#38818450#4358574#40645415#2568421#1742049#1718132#2116201"
Gregory P. Davis,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER,oxford","36003781,https://www.semanticscholar.org/author/36003781,Gregory P Davis,Assessment of a Novel Virtual Environment for Examining Human Cognitive-Motor Performance During Execution of Action Sequences/2022/A. Shaver#Neehar Peri#Remy Mezebish#G. Matthew#Alyza Berson#C. Gaskins#Gregory P. Davis#Garrett E. Katz#I. Samuel#M. Reinhard#Michelle E. Costanzo#J. Reggia#James M. Purtilo#R. Gentili/51061191#46191110#2171670472#2084386075#2171680434#87392046#36003781#38818450#4358574#40645415#2568421#1742049#1718132#2116201,professor"
Edward D. Lazowska,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER,PAPER,PAPER,PAPER,PAPER,oxford","1683210,https://www.semanticscholar.org/author/1683210,Edward D Lazowska/E. Lazowska/E D Lazowska/Edward D. Lazowska/Edward Delano Lazowska/Edward Lazowska/E. D. Lazowska/E.d. Lazowska,Software Engineering Practices in Academia: Promoting the 3Rs—Readability$comma$ Resilience$comma$ and Reuse/2023/Andrew Connolly#J. Hellerstein#Naomi Alterman#David A. C. Beck#R. Fatland#Ed Lazowska#Vani Mandava#Sarah Stone/2182964168#1716649#2119816035#2204065659#3067894#1683210#34104922#2215638617,CloudBank: Managed Services to Simplify Cloud Access for Computer Science Research and Education/2021/Michael L. Norman#Vince Kellen#Shava Smallen#Brian DeMeulle#Shawn M. Strande#Ed Lazowska#Naomi Alterman#R. Fatland#S. Stone#Amanda Tan#K. Yelick#Eric Van Dusen#James Mitchell/2119832817#2629020#2072918#2119830758#2743909#1683210#2119816035#3067894#2054561579#2119694282#1731111#5304830#2115524710,Innovation Ecosystem/2020/Ed Lazowska/1683210,Institutions Share Successes$comma$ Failures$comma$ and Advice in Moving the Diversity Needle/2020/Daniel D. Garcia#M. Charikar#Eboney Hearn#Ed Lazowska#Jonathan Reynolds/145151213#1745732#1508809171#1683210#2068158757,Sexual harassment is a threat to engineering: A national academies report finds that it's not just individuals who suffer when gender-based abuse goes unaddressed - [Spectral Lines]/2018/C. Mote#S. Widnall#Ed Lazowska/144332418#4131653#1683210,professor"
Sarah Stone,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER,PAPER","2054561579,https://www.semanticscholar.org/author/2054561579,S. Stone/Sarah Stone/Sarah A Stone,Software Engineering Practices in Academia: Promoting the 3Rs—Readability$comma$ Resilience$comma$ and Reuse/2023/Andrew Connolly#J. Hellerstein#Naomi Alterman#David A. C. Beck#R. Fatland#Ed Lazowska#Vani Mandava#Sarah Stone/2182964168#1716649#2119816035#2204065659#3067894#1683210#34104922#2215638617,CloudBank: Managed Services to Simplify Cloud Access for Computer Science Research and Education/2021/Michael L. Norman#Vince Kellen#Shava Smallen#Brian DeMeulle#Shawn M. Strande#Ed Lazowska#Naomi Alterman#R. Fatland#S. Stone#Amanda Tan#K. Yelick#Eric Van Dusen#James Mitchell/2119832817#2629020#2072918#2119830758#2743909#1683210#2119816035#3067894#2054561579#2119694282#1731111#5304830#2115524710"
Andrew Connolly,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","2182964168,https://www.semanticscholar.org/author/2182964168,None,Software Engineering Practices in Academia: Promoting the 3Rs—Readability$comma$ Resilience$comma$ and Reuse/2023/Andrew Connolly#J. Hellerstein#Naomi Alterman#David A. C. Beck#R. Fatland#Ed Lazowska#Vani Mandava#Sarah Stone/2182964168#1716649#2119816035#2204065659#3067894#1683210#34104922#2215638617"
J. Hellerstein,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","1716649,https://www.semanticscholar.org/author/1716649,Joseph Hellerstein/Joseph L Hellerstein/Joseph L. Hellerstein/J.l. Hellerstein/J. Hellerstein,Software Engineering Practices in Academia: Promoting the 3Rs—Readability$comma$ Resilience$comma$ and Reuse/2023/Andrew Connolly#J. Hellerstein#Naomi Alterman#David A. C. Beck#R. Fatland#Ed Lazowska#Vani Mandava#Sarah Stone/2182964168#1716649#2119816035#2204065659#3067894#1683210#34104922#2215638617"
Naomi Alterman,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER,PAPER","2119816035,https://www.semanticscholar.org/author/2119816035,None,Software Engineering Practices in Academia: Promoting the 3Rs—Readability$comma$ Resilience$comma$ and Reuse/2023/Andrew Connolly#J. Hellerstein#Naomi Alterman#David A. C. Beck#R. Fatland#Ed Lazowska#Vani Mandava#Sarah Stone/2182964168#1716649#2119816035#2204065659#3067894#1683210#34104922#2215638617,CloudBank: Managed Services to Simplify Cloud Access for Computer Science Research and Education/2021/Michael L. Norman#Vince Kellen#Shava Smallen#Brian DeMeulle#Shawn M. Strande#Ed Lazowska#Naomi Alterman#R. Fatland#S. Stone#Amanda Tan#K. Yelick#Eric Van Dusen#James Mitchell/2119832817#2629020#2072918#2119830758#2743909#1683210#2119816035#3067894#2054561579#2119694282#1731111#5304830#2115524710"
